PP.1,PP.2,PP.3,PP.5,PP.6,PP.7,PP1.5,PP1.6,PP1.7,PP1.8,PP1.9,PP2.0,PP100,PP150,PP200,PP250,PP300,PP350,PP750,PP800,PP850,PP900,PP950,PP1000,PP0.15,PP0.145,PP0.14,PP0.135,PP0.13,PP0.12,PP0.075,PP0.07,PP0.065,PP0.06,PP0.055,PP0.05,PP.8,PP.9,PP1.0,PP1.1,PP1.2,PP1.3,PP1.4,PP400,PP450,PP500,PP550,PP600,PP650,PP700,PP0.115,PP0.11,PP0.095,PP0.09,PP0.085,PP0.08,Fault Class
0.072364224,0.056976673,0.051519794,0.047020044,0.04586877,0.045032533,0.042232745,0.042082179,0.041950414,0.041834356,0.041629189,0.041532308,0.072394351,0.072390215,0.072382581,0.072378124,0.072384765,0.072377055,0.072361438,0.072361813,0.072359476,0.072357723,0.072362759,0.072364224,0.058602123,0.059624763,0.06077254,0.061721783,0.062651826,0.066260162,0.084706825,0.088197169,0.092212556,0.096881113,0.102371446,0.108915877,0.044395079,0.04389126,0.043485926,0.043153536,0.042843025,0.042607252,0.042406066,0.072381908,0.072375636,0.072381782,0.072377733,0.072369193,0.072361145,0.072362188,0.067607278,0.067383825,0.07431624,0.076497659,0.078934431,0.081649521,1
0.14068423,0.112027295,0.101749755,0.093215479,0.091026324,0.089433457,0.084122691,0.08383693,0.083587163,0.083367473,0.08307778,0.082900045,0.140743664,0.140736623,0.140729411,0.140720409,0.14072653,0.140714742,0.140681555,0.140682047,0.140676655,0.140672684,0.140678805,0.14068423,0.115497779,0.117355272,0.119424494,0.121084037,0.122676421,0.129767243,0.162703868,0.168867257,0.175930946,0.184107156,0.193671883,0.205001304,0.088217404,0.087254969,0.086480001,0.085844067,0.085283341,0.084834608,0.084451997,0.140720477,0.140711193,0.140719588,0.140711934,0.140696384,0.140685491,0.140687048,0.132189857,0.131531003,0.144196194,0.14810485,0.152465567,0.157288906,1
0.207164603,0.167188868,0.152688088,0.140570433,0.137451338,0.135177168,0.127579849,0.127170098,0.126812057,0.126497237,0.126130214,0.125878215,0.207252446,0.207243798,0.207237685,0.207225185,0.207230539,0.207215285,0.207164122,0.207164467,0.207155779,0.207149343,0.207155952,0.207164603,0.171939716,0.174499594,0.177338158,0.179536178,0.181588153,0.192221109,0.237142305,0.245447952,0.254933744,0.265866104,0.278588405,0.293563844,0.133437754,0.13205871,0.130947086,0.130034117,0.129244535,0.128600913,0.128052128,0.207221585,0.207209494,0.207219597,0.207208729,0.207186137,0.207172969,0.207174537,0.195556068,0.194314986,0.211985923,0.217337812,0.223295022,0.229827805,1
0.271606519,0.22217155,0.20403349,0.188781703,0.184841216,0.181961836,0.172307478,0.171785307,0.171329047,0.170927897,0.170491248,0.170171836,0.271717222,0.271708681,0.271704744,0.27169021,0.27169503,0.271677284,0.271609581,0.271609664,0.271597625,0.271588628,0.271595246,0.271606519,0.227641362,0.230773388,0.234232052,0.236801804,0.239117426,0.253271878,0.307938792,0.317902421,0.329248367,0.342270755,0.357347593,0.374984613,0.179755087,0.178002194,0.176587574,0.175424687,0.174428508,0.173608575,0.172909316,0.2716842,0.271669771,0.271681286,0.271667807,0.27163837,0.271623644,0.27162491,0.257372107,0.255427305,0.277502813,0.284033473,0.291283272,0.299151683,1
0.333808398,0.276675777,0.255471019,0.237528964,0.232875331,0.229466954,0.217987682,0.217364887,0.21682067,0.216342176,0.215843746,0.215463927,0.333931475,0.333925286,0.333925072,0.333910452,0.333915499,0.333896616,0.333815638,0.33381549,0.333800226,0.333788716,0.333794981,0.333808398,0.28237541,0.285961931,0.289907293,0.29270348,0.295115999,0.312760688,0.375004439,0.386185059,0.398889229,0.413414621,0.430146945,0.449600034,0.226849196,0.224765598,0.223082028,0.221696709,0.220516522,0.219539164,0.218705412,0.333904584,0.333888548,0.333901433,0.333886154,0.333850281,0.333834846,0.333835684,0.317481078,0.314718161,0.340561724,0.348026337,0.356288176,0.365142738,1
0.393574002,0.33040116,0.306681205,0.286483974,0.281224248,0.277362561,0.264291079,0.263579576,0.262957775,0.262411028,0.261858729,0.261425597,0.393693986,0.393692867,0.393698369,0.393686094,0.393692654,0.39367439,0.393585323,0.393585125,0.393566955,0.393553125,0.393558786,0.393574002,0.335906245,0.339838771,0.34414868,0.347041184,0.349403827,0.370456843,0.438254804,0.450253926,0.463871648,0.479387075,0.497171679,0.517721341,0.274389938,0.27201879,0.270100405,0.268520267,0.26717879,0.266063034,0.265110905,0.393684247,0.39366762,0.393682098,0.393666055,0.393624367,0.393609224,0.393609702,0.375660381,0.371979687,0.400983087,0.409156566,0.418173048,0.427687619,1
0.450734961,0.383069244,0.357362833,0.335333299,0.329572424,0.325331917,0.310899288,0.310110993,0.309421988,0.308816088,0.308217813,0.307738475,0.450831596,0.4508385,0.450852041,0.450844965,0.450854816,0.450839345,0.450749493,0.45074959,0.450729043,0.450713234,0.450718148,0.450734961,0.388000776,0.392175668,0.396733786,0.399600653,0.401777044,0.426063082,0.497633634,0.510096379,0.524238429,0.540300538,0.558622648,0.579663714,0.322059879,0.31944394,0.31732464,0.315577155,0.314097015,0.312861841,0.311807424,0.450852351,0.450836474,0.450853066,0.450837548,0.450790892,0.45077723,0.450777624,0.431628331,0.42695373,0.458615408,0.467292457,0.476829047,0.486699441,1
0.50513363,0.434407792,0.407217672,0.38376338,0.377603342,0.373056695,0.357490353,0.356637075,0.355891155,0.355235131,0.354598686,0.354080196,0.505182446,0.505200169,0.50522415,0.50522539,0.505240705,0.505230606,0.505149635,0.505150562,0.505128406,0.50511112,0.505115253,0.50513363,0.438483729,0.442809273,0.447513787,0.450251931,0.452130322,0.479423018,0.553096335,0.565713291,0.580044199,0.596274813,0.614700825,0.635731306,0.369539535,0.366720807,0.364433965,0.362546228,0.36094976,0.359613931,0.358473149,0.505248454,0.505235035,0.505254592,0.505241192,0.505190654,0.5051799,0.505180724,0.485234538,0.479500772,0.513317903,0.522312859,0.532157306,0.542099682,1
0.556623957,0.484152966,0.455953042,0.43146336,0.425002412,0.420219922,0.403741785,0.40283512,0.402042398,0.401345124,0.400678154,0.400127452,0.556597489,0.556628163,0.556664688,0.556677332,0.556700452,0.556698598,0.556638703,0.55664122,0.556618503,0.556600426,0.556603853,0.556623957,0.487187657,0.491582623,0.496344287,0.498866723,0.500355815,0.530362938,0.604612435,0.61712127,0.631357276,0.647438863,0.665609239,0.686219755,0.416510337,0.41352972,0.411107906,0.409106406,0.407415467,0.405997371,0.404785841,0.556723349,0.556714482,0.556738207,0.556728863,0.556675792,0.556669673,0.556671715,0.536313506,0.529468749,0.564961214,0.574107714,0.584069201,0.593819003,1
0.605084814,0.532063553,0.503296293,0.478139713,0.471471615,0.466520633,0.449345193,0.448396419,0.447566735,0.446836851,0.446146769,0.445570615,0.604954555,0.60499917,0.605049605,0.605076294,0.605109345,0.605118643,0.605094396,0.605099528,0.605077637,0.605059666,0.605062579,0.605084814,0.533946127,0.538335711,0.543072845,0.545302424,0.546323006,0.578659638,0.652181346,0.664367392,0.678273934,0.693945092,0.711567659,0.731431721,0.46266929,0.459566241,0.457040939,0.454951329,0.453187101,0.451704589,0.450437483,0.605152522,0.605150629,0.605180041,0.605177046,0.605123058,0.605123658,0.605128023,0.584656084,0.576668741,0.613440653,0.622591224,0.632499394,0.641811971,1
